asn,Count
AS265831,1
AS266594,1
AS266623,1
AS268888,1
AS270075,1
AS270955,1
AS271206,1
AS329184,1
AS394869,1
AS2497,1
AS2561,1
AS5602,1
AS6134,1
AS6391,1
AS6699,1
AS6724,1
AS8368,1
AS8595,1
AS8732,1
AS9070,1
AS10226,1
AS12301,1
AS12438,1
AS12578,1
AS13280,1
AS15525,1
AS15774,1
AS17563,1
AS17769,1
AS18049,1
AS18106,1
AS19114,1
AS25019,1
AS25052,1
AS26609,1
AS27831,1
AS29075,1
AS29691,1
AS30058,1
AS30733,1
AS33991,1
AS34123,1
AS34244,1
AS35393,1
AS35728,1
AS36908,1
AS36920,1
AS38253,1
AS39074,1
AS39188,1
AS39405,1
AS39544,1
AS39608,1
AS41268,1
AS41634,1
AS41682,1
AS43278,1
AS43830,1
AS44051,1
AS45413,1
AS45487,1
AS47216,1
AS47283,1
AS49160,1
AS50186,1
AS50821,1
AS53016,1
AS53055,1
AS53107,1
AS53610,1
AS54801,1
AS55592,1
AS57332,1
AS58731,1
AS59895,1
AS60567,1
AS61106,1
AS63500,1
AS63760,1
AS132153,1
AS133073,1
AS133159,1
AS133905,1
AS134175,1
AS134337,1
AS135654,1
AS136284,1
AS136627,1
AS138065,1
AS138246,1
AS138277,1
AS138317,1
AS138926,1
AS139021,1
AS139994,1
AS140739,1
AS140832,1
AS141659,1
AS147176,1
AS147279,1
AS149132,1
AS149526,1
AS151872,1
AS198602,1
AS202870,1
AS203758,1
AS204428,1
AS207821,1
AS208208,1
AS210278,1
AS211381,1
AS212396,1
AS212531,1
AS262773,1
AS262907,1
AS263242,1
AS263246,1
AS263258,1
AS264004,1
AS266273,1
AS266966,1
AS267033,1
AS267289,1
AS267378,1
AS267826,1
AS269136,1
AS270344,1
AS271904,1
AS272045,1
AS272122,1
AS327799,1
AS328668,1
AS328993,1
AS397283,1
AS398191,1
AS1002,1
AS1680,1
AS3238,1
AS3737,1
AS4739,1
AS5387,1
AS7489,1
AS8069,1
AS8334,1
AS8849,1
AS9430,1
AS10099,1
AS10109,1
AS10225,1
AS10431,1
AS10733,1
AS11232,1
AS11835,1
AS11961,1
AS12586,1
AS13649,1
AS16223,1
AS18809,1
AS19901,1
AS21305,1
AS22860,1
AS23470,1
AS23693,1
AS23991,1
AS24589,1
AS25248,1
AS31363,1
AS31430,1
AS35758,1
AS36224,1
AS36924,1
AS36986,1
AS37153,1
AS38019,1
AS38229,1
AS39153,1
AS40092,1
AS41786,1
AS45286,1
AS45558,1
AS45650,1
AS47674,1
AS49063,1
AS49556,1
AS49666,1
AS51074,1
AS51407,1
AS52148,1
AS52680,1
AS52800,1
AS52893,1
AS52995,1
AS53120,1
AS53292,1
AS54512,1
AS54578,1
AS55653,1
AS57497,1
AS58254,1
AS58397,1
AS61581,1
AS61960,1
AS61998,1
AS62370,1
AS64018,1
AS131429,1
AS132296,1
AS132779,1
AS133322,1
AS134020,1
AS134319,1
AS134425,1
AS134542,1
AS134766,1
AS135310,1
AS135932,1
AS136065,1
AS136629,1
AS136727,1
AS137409,1
AS137905,1
AS138077,1
AS138156,1
AS138346,1
AS139080,1
AS140227,1
AS141004,1
AS141639,1
AS141918,1
AS141987,1
AS142448,1
AS149178,1
AS149837,1
AS150008,1
AS150462,1
AS150504,1
AS150734,1
AS198154,1
AS198397,1
AS199707,1
AS200466,1
AS203380,1
AS208955,1
AS209628,1
AS209805,1
AS211971,1
AS212477,1
AS215479,1
AS215761,1
AS216475,1
AS262468,1
AS262688,1
AS262794,1
AS262826,1
AS262873,1
AS263040,1
AS263980,1
AS265310,1
AS266533,1
AS267601,1
AS268873,1
AS268935,1
AS270360,1
AS270697,1
AS272547,1
AS328171,1
AS328408,1
AS328543,1
AS680,1
AS2764,1
AS3214,1
AS4007,1
AS4648,1
AS4694,1
AS4771,1
AS6181,1
AS6407,1
AS7160,1
AS7474,1
AS7590,1
AS9066,1
AS10029,1
AS10045,1
AS12392,1
AS12552,1
AS12754,1
AS12764,1
AS13576,1
AS15311,1
AS17072,1
AS19527,1
AS20626,1
AS21050,1
AS22724,1
AS23679,1
AS23947,1
AS24806,1
AS26832,1
AS28252,1
AS28548,1
AS28917,1
AS29222,1
AS29513,1
AS29580,1
AS31370,1
AS34047,1
AS34959,1
AS34999,1
AS35244,1
AS35278,1
AS35539,1
AS37013,1
AS37184,1
AS37219,1
AS37305,1
AS37371,1
AS37492,1
AS44724,1
AS45700,1
AS47273,1
AS49320,1
AS49872,1
AS49889,1
AS51004,1
AS51112,1
AS52241,1
AS52493,1
AS52769,1
AS52777,1
AS52904,1
AS53172,1
AS53587,1
AS55577,1
AS56150,1
AS56153,1
AS57279,1
AS58539,1
AS59833,1
AS60032,1
AS60721,1
AS63491,1
AS132300,1
AS133398,1
AS133685,1
AS134543,1
AS135566,1
AS136778,1
AS137318,1
AS137389,1
AS137785,1
AS138421,1
AS139955,1
AS140869,1
AS141107,1
AS141108,1
AS141771,1
AS147224,1
AS149148,1
AS149240,1
AS149641,1
AS150142,1
AS151712,1
AS196854,1
AS198068,1
AS198100,1
AS199860,1
AS200019,1
AS201133,1
AS202619,1
AS202921,1
AS204107,1
AS205647,1
AS206119,1
AS207992,1
AS209836,1
AS210172,1
AS210194,1
AS210602,1
AS216240,1
AS262418,1
AS263703,1
AS264654,1
AS266416,1
AS267501,1
AS268241,1
AS268845,1
AS269311,1
AS269990,1
AS270406,1
AS270535,1
AS271814,1
AS272059,1
AS396122,1
AS400633,1
AS401104,1
AS6461,1
AS6921,1
AS7194,1
AS7565,1
AS8758,1
AS8767,1
AS8788,1
AS9028,1
AS9943,1
AS12605,1
AS12709,1
AS13036,1
AS14522,1
AS15516,1
AS15796,1
AS17506,1
AS17551,1
AS17608,1
AS18978,1
AS20904,1
AS22690,1
AS23678,1
AS24138,1
AS24877,1
AS24945,1
AS25386,1
AS25853,1
AS26617,1
AS27382,1
AS27987,1
AS28075,1
AS28126,1
AS28194,1
AS28594,1
AS31257,1
AS33576,1
AS34797,1
AS34871,1
AS35042,1
AS35091,1
AS37119,1
AS37385,1
AS37542,1
AS38203,1
AS38320,1
AS38457,1
AS38661,1
AS40786,1
AS42082,1
AS42548,1
AS45194,1
AS48166,1
AS49628,1
AS50782,1
AS50867,1
